No,q1Title,q1Body,q2Title,q2Body,q1 Title + body,Length of cell,top,top5,top10,,,top,top5,top10
27,Running shell command and capturing the output,"<p>I want to assign the output of a command I run using <code>os.system</code> to a variable and prevent it from being output to the screen. But, in the below code ,the output is sent to the screen and the value printed for <code>var</code> is 0, which I guess signifies whether the command ran successfully or not. Is there any way to assign the command output to the variable and also stop it from being displayed on the screen?</p>

<pre><code>var = os.system(""cat /etc/services"")
print var #Prints 0
</code></pre>
",Assign output of os.system to a variable and prevent it from being displayed on the screen,"<p>I want to write a function that will execute a shell command and return its output <strong>as a string</strong>, no matter, is it an error or success message. I just want to get the same result that I would have gotten with the command line.</p>

<p>What would be a code example that would do such a thing?</p>

<p>For example:</p>

<pre><code>def run_command(cmd):
    # ??????

print run_command('mysqladmin create test -uroot -pmysqladmin12')
# Should output something like:
# mysqladmin: CREATE DATABASE failed; error: 'Can't create database 'test'; database exists'
</code></pre>
","Running shell command and capturing the output <p>I want to assign the output of a command I run using <code>os.system</code> to a variable and prevent it from being output to the screen. But, in the below code ,the output is sent to the screen and the value printed for <code>var</code> is 0, which I guess signifies whether the command ran successfully or not. Is there any way to assign the command output to the variable and also stop it from being displayed on the screen?</p>

<pre><code>var = os.system(""cat /etc/services"")
print var #Prints 0
</code></pre>
",565,0,0,0,,,0,0,0
28,Check if a given key already exists in a dictionary,"<p>Let's say I have an associative array like so: <code>{'key1': 22, 'key2': 42}</code>.</p>

<p>How can I check if <code>key1</code> exists in the dictionary?</p>
",How can I check if a key exists in a dictionary?,"<p>I wanted to test if a key exists in a dictionary before updating the value for the key.
I wrote the following code:</p>

<pre><code>if 'key1' in dict.keys():
  print ""blah""
else:
  print ""boo""
</code></pre>

<p>I think this is not the best way to accomplish this task. Is there a better way to test for a key in the dictionary?</p>
","Check if a given key already exists in a dictionary <p>Let's say I have an associative array like so: <code>{'key1': 22, 'key2': 42}</code>.</p>

<p>How can I check if <code>key1</code> exists in the dictionary?</p>
",216,1,1,1,,,1,1,1
29,How can I remove a key from a Python dictionary?,"<p>Is there any other way to delete an item in a dictionary only if the given key exists, other than:</p>

<pre><code>if key in mydict:
    del mydict[key]
</code></pre>

<p>The scenario is that I'm given a collection of keys to be removed from a given dictionary, but I am not certain if all of them exist in the dictionary. Just in case I miss a more efficient solution.</p>
",Delete a dictionary item if the key exists ,"<p>Is there a one-line way of deleting a key from a dictionary without raising a <code>KeyError</code>?</p>
<pre><code>if 'key' in my_dict:
    del my_dict['key']
</code></pre>
","How can I remove a key from a Python dictionary? <p>Is there any other way to delete an item in a dictionary only if the given key exists, other than:</p>

<pre><code>if key in mydict:
    del mydict[key]
</code></pre>

<p>The scenario is that I'm given a collection of keys to be removed from a given dictionary, but I am not certain if all of them exist in the dictionary. Just in case I miss a more efficient solution.</p>
",426,0,1,1,,,0,1,1
30, What does ** (double star/asterisk) and * (star/asterisk) do for parameters?,"<p>Does * have a special meaning in Python as it does in C? I saw a function like this in the Python Cookbook:</p>

<pre><code>def get(self, *a, **kw)
</code></pre>

<p>Would you please explain it to me or point out where I can find an answer (Google interprets the * as wild card character and thus I cannot find a satisfactory answer).</p>
",What does asterisk * mean in Python?,"<p>What do <code>*args</code> and <code>**kwargs</code> mean?</p>
<pre><code>def foo(x, y, *args):
def bar(x, y, **kwargs):
</code></pre>
"," What does ** (double star/asterisk) and * (star/asterisk) do for parameters? <p>Does * have a special meaning in Python as it does in C? I saw a function like this in the Python Cookbook:</p>

<pre><code>def get(self, *a, **kw)
</code></pre>

<p>Would you please explain it to me or point out where I can find an answer (Google interprets the * as wild card character and thus I cannot find a satisfactory answer).</p>
",420,1,1,1,,,1,1,1
31,Check if a given key already exists in a dictionary,"<p>What's the cleanest way to test if a dictionary contains a key?</p>

<pre><code>x = {'a' : 1, 'b' : 2}
if (x.contains_key('a')):
    ....
</code></pre>
",How to test if a dictionary contains a specific key? ,"<p>I wanted to test if a key exists in a dictionary before updating the value for the key.
I wrote the following code:</p>

<pre><code>if 'key1' in dict.keys():
  print ""blah""
else:
  print ""boo""
</code></pre>

<p>I think this is not the best way to accomplish this task. Is there a better way to test for a key in the dictionary?</p>
","Check if a given key already exists in a dictionary <p>What's the cleanest way to test if a dictionary contains a key?</p>

<pre><code>x = {'a' : 1, 'b' : 2}
if (x.contains_key('a')):
    ....
</code></pre>
",207,1,1,1,,,1,1,1
32,What are the differences between type() and isinstance()?,"<p>I need to know if a variable in Python is a string or a dict.  Is there anything wrong with the following code?</p>

<pre><code>if type(x) == type(str()):
    do_something_with_a_string(x)
elif type(x) == type(dict()):
    do_somethting_with_a_dict(x)
else:
    raise ValueError
</code></pre>

<p><strong>Update</strong>: I accepted avisser's answer (though I will change my mind if someone explains why <code>isinstance</code> is preferred over <code>type(x) is</code>).</p>

<p>But thanks to nakedfanatic for reminding me that it's often cleaner to use a dict (as a case statement) than an if/elif/else series.</p>

<p>Let me elaborate on my use case.  If a variable is a string, I need to put it in a list.  If it's a dict, I need a list of the unique values.  Here's what I came up with:</p>

<pre><code>def value_list(x):
    cases = {str: lambda t: [t],
             dict: lambda t: list(set(t.values()))}
    try:
        return cases[type(x)](x)
    except KeyError:
        return None
</code></pre>

<p>If <code>isinstance</code> is preferred, how would you write this <code>value_list()</code> function?</p>
",What is the best (idiomatic) way to check the type of a Python variable? ,"<p>What are the differences between these two code snippets?</p>
<p>Using <a href=""https://docs.python.org/3/library/functions.html#type"" rel=""nofollow noreferrer""><code>type</code></a>:</p>
<pre><code>import types

if type(a) is types.DictType:
    do_something()
if type(b) in types.StringTypes:
    do_something_else()
</code></pre>
<p>Using <a href=""https://docs.python.org/3/library/functions.html#isinstance"" rel=""nofollow noreferrer""><code>isinstance</code></a>:</p>
<pre><code>if isinstance(a, dict):
    do_something()
if isinstance(b, str) or isinstance(b, unicode):
    do_something_else()
</code></pre>
","What are the differences between type() and isinstance()? <p>I need to know if a variable in Python is a string or a dict.  Is there anything wrong with the following code?</p>

<pre><code>if type(x) == type(str()):
    do_something_with_a_string(x)
elif type(x) == type(dict()):
    do_somethting_with_a_dict(x)
else:
    raise ValueError
</code></pre>

<p><strong>Update</strong>: I accepted avisser's answer (though I will change my mind if someone explains why <code>isinstance</code> is preferred over <code>type(x) is</code>).</p>

<p>But thanks to nakedfanatic for reminding me that it's often cleaner to use a dict (as a case statement) than an if/elif/else series.</p>

<p>Let me elaborate on my use case.  If a variable is a string, I need to put it in a list.  If it's a dict, I need a list of the unique values.  Here's what I came up with:</p>

<pre><code>def value_list(x):
    cases = {str: lambda t: [t],
             dict: lambda t: list(set(t.values()))}
    try:
        return cases[type(x)](x)
    except KeyError:
        return None
</code></pre>

<p>If <code>isinstance</code> is preferred, how would you write this <code>value_list()</code> function?</p>
",1180,0,0,0,,,0,0,0
33,What is the naming convention in Python for variable and function?,"<p>So which is better and why?</p>
<pre class=""lang-py prettyprint-override""><code>def my_function():
</code></pre>
<p>or</p>
<pre class=""lang-py prettyprint-override""><code>def myFunction():
</code></pre>
","Should I use ""camel case"" or underscores in Python?","<p>Coming from a C# background the naming convention for variables and method names are usually either camelCase or PascalCase:</p>

<pre class=""lang-cs prettyprint-override""><code>// C# example
string thisIsMyVariable = ""a""
public void ThisIsMyMethod()
</code></pre>

<p>In Python, I have seen the above but I have also seen underscores being used:</p>

<pre class=""lang-py prettyprint-override""><code># python example
this_is_my_variable = 'a'
def this_is_my_function():
</code></pre>

<p>Is there a more preferable, definitive coding style for Python?</p>
","What is the naming convention in Python for variable and function? <p>So which is better and why?</p>
<pre class=""lang-py prettyprint-override""><code>def my_function():
</code></pre>
<p>or</p>
<pre class=""lang-py prettyprint-override""><code>def myFunction():
</code></pre>
",273,0,1,1,,,0,1,1
34,How do I execute a program or call a system command? ,"<p>I'm building a web application that will is going to manipulate (pad, mix, merge etc) sound files and I've found that <a href=""http://sox.sourceforge.net/"" rel=""noreferrer"">sox</a> does exactly what I want. Sox is a linux command line program and I'm feeling a little uncomfortable with having the python web app starting new sox processes on my server on a per request basis. </p>

<p>Example:</p>

<pre><code>import os
os.system('sox input.wav -b 24 output.aiff rate -v -L -b 90 48k')
</code></pre>

<p>This whole setup seems a little unstable to me.</p>

<p>So my question is, what's the best practice for running command line programs from within  a python (or any scripting language) web app?</p>

<p>Message queues would be one thing to implement in order to get around the whole request response cycle. But is there other ways to make these things more elegant?</p>
",Executing command line programs from within python,"<p>How do I call an external command within Python as if I'd typed it in a shell or command prompt?</p>
","How do I execute a program or call a system command?  <p>I'm building a web application that will is going to manipulate (pad, mix, merge etc) sound files and I've found that <a href=""http://sox.sourceforge.net/"" rel=""noreferrer"">sox</a> does exactly what I want. Sox is a linux command line program and I'm feeling a little uncomfortable with having the python web app starting new sox processes on my server on a per request basis. </p>

<p>Example:</p>

<pre><code>import os
os.system('sox input.wav -b 24 output.aiff rate -v -L -b 90 48k')
</code></pre>

<p>This whole setup seems a little unstable to me.</p>

<p>So my question is, what's the best practice for running command line programs from within  a python (or any scripting language) web app?</p>

<p>Message queues would be one thing to implement in order to get around the whole request response cycle. But is there other ways to make these things more elegant?</p>
",930,1,1,1,,,1,1,1
35,How do I merge two dictionaries in a single expression?,"<p>Say I have three dicts </p>

<pre><code>d1={1:2,3:4}
d2={5:6,7:9}
d3={10:8,13:22}
</code></pre>

<p>How do I create a new <code>d4</code> that combines these three dictionaries? i.e.:</p>

<pre><code>d4={1:2,3:4,5:6,7:9,10:8,13:22}
</code></pre>
",How to concatenate two dictionaries to create a new one?,"<p>I want to merge two dictionaries into a new dictionary.</p>
<pre><code>x = {'a': 1, 'b': 2}
y = {'b': 3, 'c': 4}
z = merge(x, y)

&gt;&gt;&gt; z
{'a': 1, 'b': 3, 'c': 4}
</code></pre>
<p>Whenever a key <code>k</code> is present in both dictionaries, only the value <code>y[k]</code> should be kept.</p>
","How do I merge two dictionaries in a single expression? <p>Say I have three dicts </p>

<pre><code>d1={1:2,3:4}
d2={5:6,7:9}
d3={10:8,13:22}
</code></pre>

<p>How do I create a new <code>d4</code> that combines these three dictionaries? i.e.:</p>

<pre><code>d4={1:2,3:4,5:6,7:9,10:8,13:22}
</code></pre>
",305,1,1,1,,,0,1,1
36, Does Python have a string 'contains' substring method?,"<p>I have two strings and I would like to check whether the first is a substring of the other. Does Python have such a built-in functionality?</p>
",How do I check if a given Python string is a substring of another one?,"<p>I'm looking for a <code>string.contains</code> or <code>string.indexof</code> method in Python.</p>

<p>I want to do:</p>

<pre><code>if not somestring.contains(""blah""):
   continue
</code></pre>
"," Does Python have a string 'contains' substring method? <p>I have two strings and I would like to check whether the first is a substring of the other. Does Python have such a built-in functionality?</p>
",203,0,1,1,,,0,1,1
37, Manually raising (throwing) an exception in Python,"<p>I have read the official definition of ""raise"", but I still don't quite understand what it does. </p>

<p>In simplest terms, what is ""raise""?</p>

<p>Example usage would help.</p>
","How to use ""raise"" keyword in Python","<p>How do I raise an exception in Python so that it can later be caught via an <code>except</code> block?</p>
"," Manually raising (throwing) an exception in Python <p>I have read the official definition of ""raise"", but I still don't quite understand what it does. </p>

<p>In simplest terms, what is ""raise""?</p>

<p>Example usage would help.</p>
",235,1,1,1,,,1,1,1
38,How to read/process command line arguments?,"<p>What's the <strong>easiest</strong>, <strong>tersest</strong>, and most <strong>flexible</strong> method or library for parsing Python command line arguments?</p>
",What's the best way to parse command line arguments? ,"<p>I am originally a C programmer. I have seen numerous tricks and ""hacks"" to read many different arguments. </p>

<p>What are some of the ways Python programmers can do this?</p>

<h3>Related</h3>

<ul>
<li><a href=""https://stackoverflow.com/questions/20063/whats-the-best-way-to-grab-parse-command-line-arguments-passed-to-a-python-scrip"">Whatâ€™s the best way to grab/parse command line arguments passed to a Python script?</a></li>
<li><a href=""https://stackoverflow.com/questions/362426/implementing-a-command-action-parameter-style-command-line-interfaces"">Implementing a â€œ[command] [action] [parameter]â€ style command-line interfaces?</a></li>
<li><a href=""https://stackoverflow.com/questions/567879/how-can-i-process-command-line-arguments-in-python"">How can I process command line arguments in Python?</a></li>
<li><a href=""https://stackoverflow.com/questions/642648/how-do-i-format-positional-argument-help-using-pythons-optparse"">How do I format positional argument help using Pythonâ€™s optparse?</a></li>
</ul>
","How to read/process command line arguments? <p>What's the <strong>easiest</strong>, <strong>tersest</strong>, and most <strong>flexible</strong> method or library for parsing Python command line arguments?</p>
",210,1,1,1,,,1,1,1
39,How to print instances of a class using print()?,"<p>In Java, I can override the <code>toString()</code> method of my class. Then Java's print function prints the string representation of the object defined by its <code>toString()</code>. Is there a Python equivalent to Java's <code>toString()</code>?</p>

<p>For example, I have a PlayCard class. I have an instance c of PlayCard. Now:</p>

<pre><code>&gt;&gt;&gt; print(c)
&lt;__main__.Card object at 0x01FD5D30&gt;
</code></pre>

<p>But what I want is something like:</p>

<pre><code>&gt;&gt;&gt; print(c)
Aâ™£
</code></pre>

<p>How do I customize the string representation of my class instances?</p>

<p>I'm using Python 3.x</p>
",How do I change the string representation of a Python class? ,"<p>When I try to <code>print</code> an instance of a class, I get an output like this:</p>
<pre><code>&gt;&gt;&gt; class Test():
...     def __init__(self):
...         self.a = 'foo'
...
&gt;&gt;&gt; print(Test())
&lt;__main__.Test object at 0x7fc9a9e36d60&gt;
</code></pre>
<p>How can I can define the <em>printing behaviour</em> (or the <em>string representation</em>) of a class and its instances? For example, referring to the above code, how can I modify the <code>Test</code> class so that <code>print</code>ing an instance shows the <code>a</code> value?</p>
","How to print instances of a class using print()? <p>In Java, I can override the <code>toString()</code> method of my class. Then Java's print function prints the string representation of the object defined by its <code>toString()</code>. Is there a Python equivalent to Java's <code>toString()</code>?</p>

<p>For example, I have a PlayCard class. I have an instance c of PlayCard. Now:</p>

<pre><code>&gt;&gt;&gt; print(c)
&lt;__main__.Card object at 0x01FD5D30&gt;
</code></pre>

<p>But what I want is something like:</p>

<pre><code>&gt;&gt;&gt; print(c)
Aâ™£
</code></pre>

<p>How do I customize the string representation of my class instances?</p>

<p>I'm using Python 3.x</p>
",687,0,1,1,,,0,0,1
40,What is the purpose of __str__ and __repr__?,"<p>I really don't understand where are <code>__str__</code> and <code>__repr__</code> used in Python. I mean, I get that <code>__str__</code> returns the string representation of an object. But why would I need that? In what use case scenario? Also, I read about the usage of <code>__repr__</code></p>

<p>But what I don't understand is, where would I use them?</p>
",What is the difference between __str__ and __repr__?,"<p>What is the difference between <a href=""https://docs.python.org/3/reference/datamodel.html#object.__str__"" rel=""noreferrer""><code>__str__</code></a> and <a href=""https://docs.python.org/3/reference/datamodel.html#object.__repr__"" rel=""noreferrer""><code>__repr__</code></a> in Python?</p>
","What is the purpose of __str__ and __repr__? <p>I really don't understand where are <code>__str__</code> and <code>__repr__</code> used in Python. I mean, I get that <code>__str__</code> returns the string representation of an object. But why would I need that? In what use case scenario? Also, I read about the usage of <code>__repr__</code></p>

<p>But what I don't understand is, where would I use them?</p>
",411,1,1,1,,,1,1,1
41,"Creating an empty Pandas DataFrame, then filling it?","<p>Here is a simple example of the code I am running, and I would like the results put into a pandas dataframe (unless there is a better option):</p>

<pre><code>for p in game.players.passing():
    print p, p.team, p.passing_att, p.passer_rating()

R.Wilson SEA 29 55.7
J.Ryan SEA 1 158.3
A.Rodgers GB 34 55.8
</code></pre>

<p>Using this code:</p>

<pre><code>d = []
for p in game.players.passing():
    d = [{'Player': p, 'Team': p.team, 'Passer Rating':
        p.passer_rating()}]

pd.DataFrame(d)
</code></pre>

<p>I can get:</p>

<pre><code>    Passer Rating   Player      Team
  0 55.8            A.Rodgers   GB
</code></pre>

<p>Which is a 1x3 dataframe, and I understand <em>why</em> it is only one row but I can't figure out how to make it multi-row with the columns in the correct order. Ideally the solution would be able to deal with <em>n</em> number of rows (based on p) and it would be wonderful (although not essential) if the number of columns would be set by the number of stats requested. Any suggestions? Thanks in advance!</p>
",How to build and fill pandas dataframe from for loop?,"<p>I'm starting from the pandas DataFrame docs here: <a href=""http://pandas.pydata.org/pandas-docs/stable/dsintro.html"" rel=""noreferrer"">http://pandas.pydata.org/pandas-docs/stable/dsintro.html</a></p>

<p>I'd like to iteratively fill the DataFrame with values in a time series kind of calculation.
So basically, I'd like to initialize the DataFrame with columns A, B and timestamp rows, all 0 or all NaN.</p>

<p>I'd then add initial values and go over this data calculating the new row from the row before, say <code>row[A][t] = row[A][t-1]+1</code> or so.</p>

<p>I'm currently using the code as below, but I feel it's kind of ugly and there must be a  way to do this with a DataFrame directly, or just a better way in general.
Note: I'm using Python 2.7.</p>

<pre><code>import datetime as dt
import pandas as pd
import scipy as s

if __name__ == '__main__':
    base = dt.datetime.today().date()
    dates = [ base - dt.timedelta(days=x) for x in range(0,10) ]
    dates.sort()

    valdict = {}
    symbols = ['A','B', 'C']
    for symb in symbols:
        valdict[symb] = pd.Series( s.zeros( len(dates)), dates )

    for thedate in dates:
        if thedate &gt; dates[0]:
            for symb in valdict:
                valdict[symb][thedate] = 1+valdict[symb][thedate - dt.timedelta(days=1)]

    print valdict
</code></pre>
","Creating an empty Pandas DataFrame, then filling it? <p>Here is a simple example of the code I am running, and I would like the results put into a pandas dataframe (unless there is a better option):</p>

<pre><code>for p in game.players.passing():
    print p, p.team, p.passing_att, p.passer_rating()

R.Wilson SEA 29 55.7
J.Ryan SEA 1 158.3
A.Rodgers GB 34 55.8
</code></pre>

<p>Using this code:</p>

<pre><code>d = []
for p in game.players.passing():
    d = [{'Player': p, 'Team': p.team, 'Passer Rating':
        p.passer_rating()}]

pd.DataFrame(d)
</code></pre>

<p>I can get:</p>

<pre><code>    Passer Rating   Player      Team
  0 55.8            A.Rodgers   GB
</code></pre>

<p>Which is a 1x3 dataframe, and I understand <em>why</em> it is only one row but I can't figure out how to make it multi-row with the columns in the correct order. Ideally the solution would be able to deal with <em>n</em> number of rows (based on p) and it would be wonderful (although not essential) if the number of columns would be set by the number of stats requested. Any suggestions? Thanks in advance!</p>
",1103,0,1,1,,,0,0,0
42,Remove specific characters from a string in Python,"<p>I'm a beginner with both Python and RegEx, and I would like to know how to make a string that takes symbols and replaces them with spaces. Any help is great.</p>

<p>For example:</p>

<pre><code>how much for the maple syrup? $20.99? That's ricidulous!!!
</code></pre>

<p>into:</p>

<pre><code>how much for the maple syrup 20 99 That s ridiculous
</code></pre>
",How to remove symbols from a string with Python? ,"<p>I'm trying to remove specific characters from a string using Python. This is the code I'm using right now. Unfortunately it appears to do nothing to the string.</p>

<pre><code>for char in line:
    if char in "" ?.!/;:"":
        line.replace(char,'')
</code></pre>

<p>How do I do this properly?</p>
","Remove specific characters from a string in Python <p>I'm a beginner with both Python and RegEx, and I would like to know how to make a string that takes symbols and replaces them with spaces. Any help is great.</p>

<p>For example:</p>

<pre><code>how much for the maple syrup? $20.99? That's ricidulous!!!
</code></pre>

<p>into:</p>

<pre><code>how much for the maple syrup 20 99 That s ridiculous
</code></pre>
",415,1,1,1,,,0,1,1
43,How do I sort a dictionary by value?,"<p>I have a dict where each key references an int value. What's the best way to sort the keys into a list depending on the values?</p>
",Sorting dictionary keys in python,"<p>I have a dictionary of values read from two fields in a database: a string field and a numeric field. The string field is unique, so that is the key of the dictionary.</p>

<p>I can sort on the keys, but how can I sort based on the values?</p>

<p>Note: I have read Stack Overflow question here <em><a href=""https://stackoverflow.com/questions/72899"">How do I sort a list of dictionaries by a value of the dictionary?</a></em> and probably could change my code to have a list of dictionaries, but since I do not really need a list of dictionaries I wanted to know if there is a simpler solution to sort either in ascending or descending order.</p>
","How do I sort a dictionary by value? <p>I have a dict where each key references an int value. What's the best way to sort the keys into a list depending on the values?</p>
",172,0,1,1,,,0,1,1
44,Reverse / invert a dictionary mapping,"<p>I receive a dictionary as input, and would like to to return a dictionary whose keys will be the input's values and whose value will be the corresponding input keys. Values are unique.</p>

<p>For example, say my input is:</p>

<pre><code>a = dict()
a['one']=1
a['two']=2
</code></pre>

<p>I would like my output to be:</p>

<pre><code>{1: 'one', 2: 'two'}
</code></pre>

<p>To clarify I would like my result to be the equivalent of the following:</p>

<pre><code>res = dict()
res[1] = 'one'
res[2] = 'two'
</code></pre>

<p>Any neat Pythonic way to achieve this?</p>
",How do I exchange keys with values in a dictionary? ,"<p>Given a dictionary like so:</p>

<pre><code>my_map = {'a': 1, 'b': 2}
</code></pre>

<p>How can one invert this map to get:</p>

<pre><code>inv_map = {1: 'a', 2: 'b'}
</code></pre>
","Reverse / invert a dictionary mapping <p>I receive a dictionary as input, and would like to to return a dictionary whose keys will be the input's values and whose value will be the corresponding input keys. Values are unique.</p>

<p>For example, say my input is:</p>

<pre><code>a = dict()
a['one']=1
a['two']=2
</code></pre>

<p>I would like my output to be:</p>

<pre><code>{1: 'one', 2: 'two'}
</code></pre>

<p>To clarify I would like my result to be the equivalent of the following:</p>

<pre><code>res = dict()
res[1] = 'one'
res[2] = 'two'
</code></pre>

<p>Any neat Pythonic way to achieve this?</p>
",609,0,0,0,,,0,0,0
45,What are metaclasses in Python?,"<p>Is there a way to trigger code when my class is subclassed?</p>

<pre><code>class SuperClass:
    def triggered_routine(subclass):
        print(""was subclassed by "" + subclass.__name__)

magically_register_triggered_routine()

print(""foo"")

class SubClass0(SuperClass):
    pass

print(""bar"")

class SubClass1(SuperClass):
    print(""test"")
</code></pre>

<p>Should output</p>

<pre><code>foo
was subclassed by SubClass0
bar
test
was subclassed by SubClass1
</code></pre>
",How to run code when a class is subclassed? ,"<p>What are metaclasses? What are they used for?</p>
","What are metaclasses in Python? <p>Is there a way to trigger code when my class is subclassed?</p>

<pre><code>class SuperClass:
    def triggered_routine(subclass):
        print(""was subclassed by "" + subclass.__name__)

magically_register_triggered_routine()

print(""foo"")

class SubClass0(SuperClass):
    pass

print(""bar"")

class SubClass1(SuperClass):
    print(""test"")
</code></pre>

<p>Should output</p>

<pre><code>foo
was subclassed by SubClass0
bar
test
was subclassed by SubClass1
</code></pre>
",508,0,0,0,,,0,0,0
46,How do I pass a variable by reference?,"<p>In some languages you can pass a parameter by reference or value by using a special reserved word like <strong>ref</strong> or <strong>val</strong>. When you pass a parameter to a Python function it never alters the value of the parameter on leaving the function.The only way to do this is by using the <strong>global</strong> reserved word (or as i understand it currently).</p>
<p><em>Example 1:</em></p>
<pre><code>k = 2

def foo (n):
     n = n * n     #clarity regarding comment below
     square = n
     return square

j = foo(k)
print j
print k
</code></pre>
<p>would show</p>
<pre><code>&gt;&gt;4
&gt;&gt;2
</code></pre>
<p>showing k to be unchanged.</p>
<p>In this example the variable n is never changed</p>
<p><em>Example 2:</em></p>
<pre><code>n = 0
def foo():
    global n
    n = n * n
    return n
</code></pre>
<p>In this example the variable n is changed.</p>
<p>Is there any way in Python to call a function and tell Python that <strong>the parameter</strong> is either <strong>a value</strong> or <strong>reference</strong> parameter instead of using global?</p>
",Python functions call by reference ,"<p>Are parameters passed by reference or by value? How do I pass by reference so that the code below outputs <code>'Changed'</code> instead of <code>'Original'</code>?</p>
<pre><code>class PassByReference:
    def __init__(self):
        self.variable = 'Original'
        self.change(self.variable)
        print(self.variable)

    def change(self, var):
        var = 'Changed'
</code></pre>
","How do I pass a variable by reference? <p>In some languages you can pass a parameter by reference or value by using a special reserved word like <strong>ref</strong> or <strong>val</strong>. When you pass a parameter to a Python function it never alters the value of the parameter on leaving the function.The only way to do this is by using the <strong>global</strong> reserved word (or as i understand it currently).</p>
<p><em>Example 1:</em></p>
<pre><code>k = 2

def foo (n):
     n = n * n     #clarity regarding comment below
     square = n
     return square

j = foo(k)
print j
print k
</code></pre>
<p>would show</p>
<pre><code>&gt;&gt;4
&gt;&gt;2
</code></pre>
<p>showing k to be unchanged.</p>
<p>In this example the variable n is never changed</p>
<p><em>Example 2:</em></p>
<pre><code>n = 0
def foo():
    global n
    n = n * n
    return n
</code></pre>
<p>In this example the variable n is changed.</p>
<p>Is there any way in Python to call a function and tell Python that <strong>the parameter</strong> is either <strong>a value</strong> or <strong>reference</strong> parameter instead of using global?</p>
",1125,1,1,1,,,1,1,1
47,Renaming column names in Pandas,"<p>I was looking for an elegant way to change a specified column name in a <code>DataFrame</code>.</p>

<p>play data ...</p>

<pre><code>import pandas as pd
d = {
         'one': [1, 2, 3, 4, 5],
         'two': [9, 8, 7, 6, 5],
         'three': ['a', 'b', 'c', 'd', 'e']
    }
df = pd.DataFrame(d)
</code></pre>

<p>The most elegant solution I have found so far ...</p>

<pre><code>names = df.columns.tolist()
names[names.index('two')] = 'new_name'
df.columns = names
</code></pre>

<p>I was hoping for a simple one-liner ... this attempt failed ...</p>

<pre><code>df.columns[df.columns.tolist().index('one')] = 'another_name'
</code></pre>

<p>Any hints gratefully received.</p>
",Changing a specific column name in pandas DataFrame ,"<p>How do I change the column labels of a pandas DataFrame from:</p>
<pre><code>['$a', '$b', '$c', '$d', '$e']
</code></pre>
<p>to</p>
<pre><code>['a', 'b', 'c', 'd', 'e'].
</code></pre>
","Renaming column names in Pandas <p>I was looking for an elegant way to change a specified column name in a <code>DataFrame</code>.</p>

<p>play data ...</p>

<pre><code>import pandas as pd
d = {
         'one': [1, 2, 3, 4, 5],
         'two': [9, 8, 7, 6, 5],
         'three': ['a', 'b', 'c', 'd', 'e']
    }
df = pd.DataFrame(d)
</code></pre>

<p>The most elegant solution I have found so far ...</p>

<pre><code>names = df.columns.tolist()
names[names.index('two')] = 'new_name'
df.columns = names
</code></pre>

<p>I was hoping for a simple one-liner ... this attempt failed ...</p>

<pre><code>df.columns[df.columns.tolist().index('one')] = 'another_name'
</code></pre>

<p>Any hints gratefully received.</p>
",715,0,1,1,,,0,1,1
